SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697023847.692429,6200,15500.0,1910,4775.0,2790,6975.0,8,1,9,34
1697023851.286091,5488,13720.0,1948,4870.0,2626,6565.0,8,1,9,36
1697023854.008082,912,2280.0,864,2160.0,684,1710.0,8,1,9,6
1697023855.13666,4998,12495.0,2178,5445.0,2622,6555.0,8,1,9,36
1697023857.918919,1688,4220.0,1080,2700.0,798,1995.0,8,1,9,9
1697023859.160933,1047,2617.5,884,2210.0,434,1085.0,8,1,9,6
1697023860.237216,4700,11750.0,1900,4750.0,2659,6647.5,8,1,9,35
1697023863.020697,2942,7355.0,1496,3740.0,1483,3707.5,8,1,9,17
1697023864.581977,3600,9000.0,1140,2850.0,1290,3225.0,8,1,9,19
1697023866.146047,3594,8985.0,1396,3490.0,1580,3950.0,8,1,9,17
1697023868.227792,3414,8535.0,1562,3905.0,1670,4175.0,8,1,9,19
1697023870.011265,5028,12570.0,1850,4625.0,2656,6640.0,8,1,9,33
1697023872.718939,2243,5607.5,1196,2990.0,868,2170.0,8,1,9,12
1697023873.985346,966,2415.0,914,2285.0,476,1190.0,8,1,9,5
1697023875.125067,4607,11517.5,1906,4765.0,2506,6265.0,8,1,9,34
1697023878.318526,3464,8660.0,1608,4020.0,1958,4895.0,8,1,9,26
1697023880.42408,3376,8440.0,1916,4790.0,2034,5085.0,8,1,9,29
1697023882.784793,1939,4847.5,1136,2840.0,828,2070.0,8,1,9,12
1697023884.048818,2999,7497.5,1202,3005.0,1170,2925.0,8,1,9,15
1697023885.389634,600,1500.0,636,1590.0,363,907.5,8,1,9,1
1697023886.389634,1610,4025.0,898,2245.0,630,1575.0,8,1,9,6
1697023887.58432,984,2460.0,866,2165.0,607,1517.5,8,1,9,5
1697023888.752519,5142,12855.0,1968,4920.0,2584,6460.0,8,1,9,34
1697023891.520185,2188,5470.0,1088,2720.0,964,2410.0,8,1,9,13
1697023892.844396,684,1710.0,832,2080.0,469,1172.5,8,1,9,3
1697023893.897239,778,1945.0,806,2015.0,281,702.5,8,1,9,3
1697023894.927679,3771,9427.5,1772,4430.0,1735,4337.5,8,1,9,28
1697023896.947242,2184,5460.0,1134,2835.0,923,2307.5,8,1,9,13
1697023898.137311,5306,13265.0,2056,5140.0,2622,6555.0,8,1,9,33
1697023901.862573,1845,4612.5,1584,3960.0,1332,3330.0,8,1,9,19
1697023903.301009,1416,3540.0,946,2365.0,575,1437.5,8,1,9,8
1697023904.400402,4547,11367.5,1728,4320.0,2326,5815.0,8,1,9,34
1697023907.148358,2057,5142.5,1006,2515.0,760,1900.0,8,1,9,10
1697023908.386238,1900,4750.0,1086,2715.0,891,2227.5,8,1,9,10
1697023909.563231,2255,5637.5,1128,2820.0,1116,2790.0,8,1,9,14
1697023911.058274,1999,4997.5,1286,3215.0,1216,3040.0,8,1,9,13
1697023912.401363,756,1890.0,778,1945.0,290,725.0,8,1,9,4
1697023913.48064,4557,11392.5,1854,4635.0,2394,5985.0,8,1,9,31
1697023916.077275,4149,10372.5,1742,4355.0,2292,5730.0,8,1,9,30
1697023919.149999,4421,11052.5,1756,4390.0,2322,5805.0,8,1,9,31
1697023921.672276,2914,7285.0,1282,3205.0,1013,2532.5,8,1,9,13
1697023923.073343,3458,8645.0,1506,3765.0,1500,3750.0,8,1,9,22
1697023924.814918,6177,15442.5,2048,5120.0,2608,6520.0,8,1,9,38
1697023928.427044,5062,12655.0,1588,3970.0,2320,5800.0,8,1,9,30
1697023931.743765,4229,10572.5,1524,3810.0,1972,4930.0,8,1,9,23
1697023933.731271,4135,10337.5,1824,4560.0,2108,5270.0,8,1,9,28
1697023936.367125,4290,10725.0,1578,3945.0,2127,5317.5,8,1,9,29
1697023939.131303,2599,6497.5,1434,3585.0,1506,3765.0,8,1,9,18
1697023940.647498,896,2240.0,632,1580.0,229,572.5,8,1,9,3
1697023941.666354,1494,3735.0,928,2320.0,636,1590.0,8,1,9,8
1697023942.77543,4314,10785.0,1676,4190.0,1634,4085.0,8,1,9,26
1697023944.574442,2404,6010.0,1202,3005.0,1080,2700.0,8,1,9,13
1697023946.027085,3922,9805.0,1628,4070.0,1954,4885.0,8,1,9,25
1697023948.328327,110,275.0,168,420.0,67,167.5,8,1,9,1
1697023949.328327,3478,8695.0,1534,3835.0,1742,4355.0,8,1,9,22
1697023951.399871,5449,13622.5,1958,4895.0,2950,7375.0,8,1,9,37
1697023955.762433,4782,11955.0,1682,4205.0,2338,5845.0,8,1,9,34
1697023959.112797,5802,14505.0,2084,5210.0,2846,7115.0,8,1,9,40
1697023962.602544,1283,3207.5,932,2330.0,753,1882.5,8,1,9,9
1697023963.767585,4418,11045.0,2024,5060.0,2450,6125.0,8,1,9,33
1697023966.340081,3712,9280.0,1564,3910.0,1760,4400.0,8,1,9,24
1697023968.330801,3756,9390.0,1716,4290.0,1496,3740.0,8,1,9,25
1697023969.981874,5726,14315.0,1972,4930.0,2604,6510.0,8,1,9,36
1697023972.82,5124,12810.0,2136,5340.0,2760,6900.0,8,1,9,40
1697023976.230582,3790,9475.0,1568,3920.0,1694,4235.0,8,1,9,26
1697023978.171804,4729,11822.5,1724,4310.0,2630,6575.0,8,1,9,36
1697023981.584395,1285,3212.5,926,2315.0,803,2007.5,8,1,9,9
1697023982.673292,5126,12815.0,1920,4800.0,2750,6875.0,8,1,9,35
1697023986.028667,3792,9480.0,1472,3680.0,1998,4995.0,8,1,9,26
1697023988.031809,3576,8940.0,1618,4045.0,1626,4065.0,8,1,9,26
1697023989.847652,5293,13232.5,1926,4815.0,2868,7170.0,8,1,9,39
1697023993.981286,2887,7217.5,1134,2835.0,1186,2965.0,8,1,9,13
1697023995.486964,3201,8002.5,1374,3435.0,1432,3580.0,8,1,9,20
1697023997.029145,3902,9755.0,1694,4235.0,1858,4645.0,8,1,9,24
1697023999.281609,3315,8287.5,1740,4350.0,1907,4767.5,8,1,9,27
1697024001.048485,3413,8532.5,1232,3080.0,1176,2940.0,8,1,9,15
1697024002.572381,4022,10055.0,1506,3765.0,1394,3485.0,8,1,9,23
1697024004.131282,5813,14532.5,2000,5000.0,2604,6510.0,8,1,9,37
1697024007.671301,2046,5115.0,1114,2785.0,924,2310.0,8,1,9,12
1697024008.983879,1977,4942.5,1006,2515.0,623,1557.5,8,1,9,7
1697024010.035417,1360,3400.0,942,2355.0,944,2360.0,8,1,9,9
1697024011.228345,4481,11202.5,1846,4615.0,2020,5050.0,8,1,9,27
1697024013.924389,1638,4095.0,1216,3040.0,1022,2555.0,8,1,9,12
1697024015.174994,576,1440.0,594,1485.0,454,1135.0,8,1,9,3
1697024016.195243,2739,6847.5,1390,3475.0,1350,3375.0,8,1,9,19
1697024017.891127,1984,4960.0,1060,2650.0,664,1660.0,8,1,9,10
1697024019.028378,5720,14300.0,1978,4945.0,2682,6705.0,8,1,9,40
1697024022.60694,5516,13790.0,1748,4370.0,2417,6042.5,8,1,9,33
1697024025.771848,2314,5785.0,1270,3175.0,907,2267.5,8,1,9,15
1697024027.100424,1935,4837.5,1236,3090.0,856,2140.0,8,1,9,13
1697024028.402846,3046,7615.0,1476,3690.0,1786,4465.0,8,1,9,21
1697024030.14935,3860,9650.0,1896,4740.0,2440,6100.0,8,1,9,34
1697024032.841878,5474,13685.0,1966,4915.0,2652,6630.0,8,1,9,34
1697024036.144493,1542,3855.0,1060,2650.0,918,2295.0,8,1,9,12
1697024037.395244,3068,7670.0,1992,4980.0,2440,6100.0,8,1,9,30
1697024040.166341,4286,10715.0,1756,4390.0,2340,5850.0,8,1,9,32
1697024042.557746,4591,11477.5,2100,5250.0,2612,6530.0,8,1,9,34
1697024046.191733,3969,9922.5,1540,3850.0,1694,4235.0,8,1,9,25
1697024048.325563,2908,7270.0,1294,3235.0,1365,3412.5,8,1,9,17
1697024049.868857,1018,2545.0,1120,2800.0,906,2265.0,8,1,9,10
1697024051.05938,1429,3572.5,1168,2920.0,1092,2730.0,8,1,9,15
1697024052.355902,3517,8792.5,1472,3680.0,1336,3340.0,8,1,9,18
1697024053.65228,1248,3120.0,842,2105.0,778,1945.0,8,1,9,7
1697024054.794101,871,2177.5,910,2275.0,484,1210.0,8,1,9,8
1697024055.92906,2072,5180.0,1184,2960.0,1110,2775.0,8,1,9,13
1697024057.247079,4337,10842.5,1620,4050.0,2136,5340.0,8,1,9,25
1697024059.561842,3028,7570.0,1410,3525.0,1118,2795.0,8,1,9,17
1697024061.00149,5906,14765.0,1982,4955.0,2630,6575.0,8,1,9,37
1697024064.791146,2903,7257.5,1498,3745.0,1062,2655.0,8,1,9,19
1697024066.149288,1535,3837.5,1162,2905.0,1416,3540.0,8,1,9,13
1697024067.587983,2622,6555.0,1302,3255.0,1324,3310.0,8,1,9,14
1697024069.104686,3612,9030.0,1550,3875.0,1666,4165.0,8,1,9,23
1697024071.060564,5009,12522.5,2064,5160.0,2428,6070.0,8,1,9,35
1697024074.019091,4373,10932.5,1970,4925.0,2384,5960.0,8,1,9,30
1697024076.741385,5145,12862.5,2064,5160.0,2814,7035.0,8,1,9,38
1697024079.890739,4709,11772.5,1952,4880.0,2566,6415.0,8,1,9,38
1697024083.16091,3934,9835.0,1594,3985.0,1975,4937.5,8,1,9,26
1697024085.339728,1062,2655.0,860,2150.0,440,1100.0,8,1,9,5
1697024086.383893,4783,11957.5,1840,4600.0,2416,6040.0,8,1,9,32
1697024089.970307,5951,14877.5,2140,5350.0,2460,6150.0,8,1,9,38
1697024093.115356,712,1780.0,730,1825.0,330,825.0,8,1,9,4
1697024094.152229,3694,9235.0,1646,4115.0,2326,5815.0,8,1,9,24
1697024096.633542,1605,4012.5,1128,2820.0,1052,2630.0,8,1,9,13
1697024098.010699,465,1162.5,544,1360.0,293,732.5,8,1,9,4
1697024099.044204,6017,15042.5,1958,4895.0,2938,7345.0,8,1,9,36
1697024102.73567,2072,5180.0,1244,3110.0,1114,2785.0,8,1,9,15
1697024104.010172,5084,12710.0,1858,4645.0,2324,5810.0,8,1,9,35
1697024107.511034,3300,8250.0,1706,4265.0,2104,5260.0,8,1,9,26
1697024109.701906,3238,8095.0,1416,3540.0,1522,3805.0,8,1,9,19
1697024111.561826,1810,4525.0,926,2315.0,828,2070.0,8,1,9,6
1697024112.764876,2359,5897.5,1142,2855.0,1092,2730.0,8,1,9,14
1697024114.031219,808,2020.0,884,2210.0,510,1275.0,8,1,9,4
1697024115.280456,2791,6977.5,1474,3685.0,1696,4240.0,8,1,9,20
1697024117.363817,3486,8715.0,1634,4085.0,1374,3435.0,8,1,9,21
1697024118.896961,4041,10102.5,1706,4265.0,2154,5385.0,8,1,9,24
1697024121.391738,2344,5860.0,1242,3105.0,1228,3070.0,8,1,9,16
1697024123.028328,2360,5900.0,1148,2870.0,740,1850.0,8,1,9,13
1697024124.261319,1504,3760.0,1112,2780.0,850,2125.0,8,1,9,10
1697024125.381529,3909,9772.5,1622,4055.0,1486,3715.0,8,1,9,26
1697024127.17305,3845,9612.5,1548,3870.0,1983,4957.5,8,1,9,28
1697024129.222898,2640,6600.0,1310,3275.0,1433,3582.5,8,1,9,18
1697024131.004952,4403,11007.5,1694,4235.0,1794,4485.0,8,1,9,28
1697024133.213646,6119,15297.5,1994,4985.0,2568,6420.0,8,1,9,39
1697024136.700433,6319,15797.5,2194,5485.0,2820,7050.0,8,1,9,40
1697024141.040353,2730,6825.0,1348,3370.0,1261,3152.5,8,1,9,19
1697024142.634587,1180,2950.0,942,2355.0,690,1725.0,8,1,9,8
1697024143.77231,5008,12520.0,1944,4860.0,2546,6365.0,8,1,9,35
1697024146.810314,2531,6327.5,1360,3400.0,1091,2727.5,8,1,9,18
1697024148.095404,1117,2792.5,900,2250.0,725,1812.5,8,1,9,12
1697024149.281399,2997,7492.5,1466,3665.0,1143,2857.5,8,1,9,20
1697024150.672434,4785,11962.5,1924,4810.0,2576,6440.0,8,1,9,34
1697024154.437234,1479,3697.5,1324,3310.0,1190,2975.0,8,1,9,15
1697024155.821438,2153,5382.5,1342,3355.0,996,2490.0,8,1,9,16
1697024157.152758,4640,11600.0,1916,4790.0,2362,5905.0,8,1,9,31
1697024160.120833,4317,10792.5,1786,4465.0,1988,4970.0,8,1,9,31
1697024162.659752,2480,6200.0,1522,3805.0,1302,3255.0,8,1,9,18
1697024164.289989,1272,3180.0,760,1900.0,435,1087.5,8,1,9,6
1697024165.319758,2471,6177.5,1170,2925.0,1192,2980.0,8,1,9,15
1697024166.600977,3990,9975.0,1692,4230.0,2008,5020.0,8,1,9,29
1697024168.856673,4801,12002.5,1648,4120.0,2192,5480.0,8,1,9,31
1697024171.435304,5308,13270.0,2096,5240.0,2599,6497.5,8,1,9,39
1697024174.395225,2784,6960.0,1466,3665.0,1484,3710.0,8,1,9,20
1697024176.132979,1408,3520.0,956,2390.0,740,1850.0,8,1,9,10
1697024177.273914,4504,11260.0,1782,4455.0,2680,6700.0,8,1,9,30
1697024180.716963,2305,5762.5,1322,3305.0,1188,2970.0,8,1,9,18
1697024182.061398,4004,10010.0,1390,3475.0,1420,3550.0,8,1,9,21
1697024183.812883,2490,6225.0,1266,3165.0,1188,2970.0,8,1,9,17
1697024185.447309,2980,7450.0,1334,3335.0,1488,3720.0,8,1,9,17
1697024186.805764,3744,9360.0,1544,3860.0,1652,4130.0,8,1,9,22
1697024188.598475,4172,10430.0,1740,4350.0,2242,5605.0,8,1,9,29
1697024191.105596,694,1735.0,716,1790.0,367,917.5,8,1,9,3
1697024192.139056,5287,13217.5,1848,4620.0,2404,6010.0,8,1,9,32
1697024195.077733,5032,12580.0,1846,4615.0,1835,4587.5,8,1,9,29
1697024197.301459,280,700.0,388,970.0,326,815.0,8,1,9,4
1697024198.332886,5724,14310.0,2002,5005.0,2429,6072.5,8,1,9,36
1697024201.540465,3639,9097.5,1686,4215.0,1806,4515.0,8,1,9,26
1697024203.702169,3157,7892.5,1642,4105.0,2073,5182.5,8,1,9,28
1697024205.701205,3600,9000.0,1384,3460.0,1330,3325.0,8,1,9,19
1697024207.485693,2242,5605.0,1222,3055.0,1270,3175.0,8,1,9,16
1697024208.987272,3937,9842.5,1746,4365.0,1874,4685.0,8,1,9,33
1697024211.494592,4980,12450.0,1756,4390.0,2164,5410.0,8,1,9,28
1697024213.931584,3472,8680.0,1806,4515.0,1960,4900.0,8,1,9,30
1697024216.377069,5016,12540.0,1992,4980.0,2118,5295.0,8,1,9,39
1697024218.983956,3179,7947.5,1592,3980.0,2032,5080.0,8,1,9,24
1697024221.113988,1784,4460.0,1180,2950.0,821,2052.5,8,1,9,12
1697024222.365463,1998,4995.0,1044,2610.0,998,2495.0,8,1,9,15
1697024223.755572,5445,13612.5,1906,4765.0,2142,5355.0,8,1,9,38
1697024226.534733,3837,9592.5,1484,3710.0,2236,5590.0,8,1,9,25
1697024229.191253,5107,12767.5,1910,4775.0,2458,6145.0,8,1,9,36
1697024231.820907,294,735.0,344,860.0,136,340.0,8,1,9,1
1697024232.82281,2995,7487.5,1318,3295.0,1604,4010.0,8,1,9,24
1697024234.29154,5419,13547.5,1932,4830.0,2536,6340.0,8,1,9,32
1697024237.730926,1574,3935.0,926,2315.0,781,1952.5,8,1,9,8
1697024238.986834,5322,13305.0,1656,4140.0,2086,5215.0,8,1,9,30
1697024241.894053,4703,11757.5,1904,4760.0,2890,7225.0,8,1,9,34
1697024244.886559,3164,7910.0,1642,4105.0,1914,4785.0,8,1,9,22
1697024247.041881,2841,7102.5,1542,3855.0,1468,3670.0,8,1,9,21
1697024248.718676,4452,11130.0,1660,4150.0,2356,5890.0,8,1,9,26
1697024251.611318,1151,2877.5,956,2390.0,922,2305.0,8,1,9,9
1697024252.815652,4260,10650.0,1608,4020.0,1678,4195.0,8,1,9,22
1697024254.630122,7082,17705.0,1942,4855.0,2870,7175.0,8,1,9,39
1697024258.843605,1440,3600.0,854,2135.0,777,1942.5,8,1,9,7
1697024259.950458,2719,6797.5,1256,3140.0,1168,2920.0,8,1,9,16
1697024261.350025,2760,6900.0,1226,3065.0,1473,3682.5,8,1,9,16
1697024262.844237,3051,7627.5,1378,3445.0,1508,3770.0,8,1,9,19
1697024264.363334,3570,8925.0,1738,4345.0,2167,5417.5,8,1,9,31
1697024266.96162,4532,11330.0,1592,3980.0,1642,4105.0,8,1,9,26
1697024268.792816,4682,11705.0,1524,3810.0,2142,5355.0,8,1,9,33
1697024271.20069,1676,4190.0,1100,2750.0,1048,2620.0,8,1,9,9
1697024272.562851,3431,8577.5,1766,4415.0,1702,4255.0,8,1,9,27
1697024274.58817,4045,10112.5,1646,4115.0,2062,5155.0,8,1,9,27
1697024277.412406,4878,12195.0,1790,4475.0,2453,6132.5,8,1,9,34
1697024280.031513,6597,16492.5,1968,4920.0,2702,6755.0,8,1,9,38
1697024283.549213,4028,10070.0,1486,3715.0,1692,4230.0,8,1,9,24
1697024285.550368,2958,7395.0,1460,3650.0,1312,3280.0,8,1,9,21
1697024287.275359,4881,12202.5,1718,4295.0,1972,4930.0,8,1,9,32
1697024289.854032,1754,4385.0,848,2120.0,940,2350.0,8,1,9,9
1697024291.094743,4094,10235.0,1936,4840.0,2368,5920.0,8,1,9,31
1697024294.255132,1633,4082.5,1110,2775.0,1280,3200.0,8,1,9,14
1697024295.555044,4597,11492.5,2082,5205.0,2360,5900.0,8,1,9,35
1697024298.475267,1972,4930.0,1256,3140.0,1248,3120.0,8,1,9,13
1697024299.909,3868,9670.0,1788,4470.0,1988,4970.0,8,1,9,29
1697024302.281806,4383,10957.5,1662,4155.0,1822,4555.0,8,1,9,24
1697024304.953018,1940,4850.0,1136,2840.0,788,1970.0,8,1,9,12
1697024306.09601,4379,10947.5,1820,4550.0,2579,6447.5,8,1,9,31
1697024309.038809,5684,14210.0,2184,5460.0,2646,6615.0,8,1,9,40
1697024312.700199,1051,2627.5,920,2300.0,574,1435.0,8,1,9,6
1697024313.841804,2793,6982.5,1484,3710.0,1364,3410.0,8,1,9,16
1697024315.309957,5014,12535.0,2026,5065.0,2870,7175.0,8,1,9,37
1697024319.194085,4690,11725.0,2018,5045.0,2596,6490.0,8,1,9,34
1697024322.184472,404,1010.0,510,1275.0,336,840.0,8,1,9,3
1697024323.187567,4453,11132.5,1886,4715.0,2758,6895.0,8,1,9,35
1697024326.565604,3033,7582.5,1566,3915.0,1582,3955.0,8,1,9,24
1697024328.428971,1620,4050.0,970,2425.0,688,1720.0,8,1,9,11
1697024329.582442,2654,6635.0,1300,3250.0,1540,3850.0,8,1,9,17
1697024331.299187,5615,14037.5,1732,4330.0,2194,5485.0,8,1,9,33
1697024333.902701,3085,7712.5,1558,3895.0,1737,4342.5,8,1,9,23
1697024336.250987,4612,11530.0,1846,4615.0,2702,6755.0,8,1,9,37
1697024339.602187,1208,3020.0,860,2150.0,522,1305.0,8,1,9,5
1697024340.678097,522,1305.0,584,1460.0,62,155.0,8,1,9,1
1697024341.683487,2442,6105.0,1276,3190.0,1090,2725.0,8,1,9,12
1697024343.063299,1041,2602.5,1042,2605.0,1028,2570.0,8,1,9,9
1697024344.353248,1666,4165.0,1088,2720.0,673,1682.5,8,1,9,10
1697024345.538609,4146,10365.0,1968,4920.0,2140,5350.0,8,1,9,32
1697024347.838421,4037,10092.5,1776,4440.0,1939,4847.5,8,1,9,27
1697024350.627167,1412,3530.0,980,2450.0,649,1622.5,8,1,9,7
1697024351.772883,3127,7817.5,1496,3740.0,1894,4735.0,8,1,9,26
